CAT_ID,ATTR_NAME,ATTR_VALUE,SEQ_NBR
3865,'BRAND','Portmeirion',64
3865,'BRAND','Demeyere',65
3865,'BRAND','Emile Henry',66
3865,'BRAND','Bosch',67
3865,'BRAND','simplehuman',68
3865,'BRAND','Ralph Lauren',69
3865,'BRAND','Couzon',70
3865,'BRAND','Raynaud',71
3865,'BRAND','Ginkgo',72
3865,'BRAND','Iittala',73
3865,'BRAND','Bormioli Rocco',74
3865,'BRAND','Zak Designs Inc.',75
3865,'BRAND','Wüsthof',76
1000243,'BRAND','Hudson Park',1
1000243,'BRAND','Ralph Lauren' ,2
1000243,'BRAND','Calvin Klein',3
1000243,'BRAND','Bloomingdale's',4
1000243,'BRAND','SFERRA',5
1000243,'BRAND','Sky',6
1000243,'BRAND','FRETTE',7
1000243,'BRAND','JR by John Robshaw',8
1000243,'BRAND','Donna Karan',9
1000243,'BRAND','Charisma',10
1000243,'BRAND','Barbara Barry',11
1000243,'BRAND','Oake',12
1000257,'BRAND','Tumi',1
1000257,'BRAND','Victorinox',2
1000257,'BRAND','Hartmann',3
1000257,'BRAND','Delsey',4
1000257,'BRAND','Bric's',5
1000257,'BRAND','Briggs & Riley',6
1000257,'BRAND','Rimowa',7
1000257,'BRAND','MCM',8
1000257,'BRAND','Samsonite Black Label',9
1000257,'BRAND','Road Warrior',10
1000257,'BRAND','Biaggi',11
1000257,'BRAND','T-Tech by Tumi,12
1000231,'BRAND','Bernardaud',1
1000231,'BRAND','Juliska',2
1000231,'BRAND','kate spade new york',3
1000231,'BRAND','Lenox',4
1000231,'BRAND','Michael Aram',5
1000231,'BRAND','Oscar De La Renta',6
1000231,'BRAND','Rosenthal',7
1000231,'BRAND','Scalamandre by Lenox' ,8
1000231,'BRAND','Villeroy & Boch' ,9
1000231,'BRAND','Wedgwood',10
1000231,'BRAND','Waterford',11
1000231,'BRAND','Vera Wang',12
1000233,'BRAND','Cambridge Silversmiths',1
1000233,'BRAND','Christofle',2
1000233,'BRAND','Couzon',3
1000233,'BRAND','Juliska',4
1000233,'BRAND','Lenox',5
1000233,'BRAND','Villeroy & Boch',6
1000233,'BRAND','Nambé' ,7
1000233,'BRAND','Ricci Argentieri',8
1000233,'BRAND','Rosenthal',9
1000233,'BRAND','Wallace',10
1000233,'BRAND','kate spade new york',11
1000233,'BRAND','Waterford',12
1000232,'BRAND','Baccarat',1
1000232,'BRAND','Juliska',2
1000232,'BRAND','Michael Aram',3
1000232,'BRAND','Nambé' ,4
1000232,'BRAND','Villeroy & Boch',5
1000232,'BRAND','Waterford',6
1000232,'BRAND','Luigi Bormioli',7
1000232,'BRAND','Riedel',8
1000232,'BRAND','William Yeoward',9
1000232,'BRAND','Orrefors',10
1000232,'BRAND','Vera Wang',11
1000232,'BRAND','Spiegelau',12
1000234,'BRAND','kate spade new york',1
1000234,'BRAND','Juliska',2
1000234,'BRAND','Michael Aram',3
1000234,'BRAND','Waterford',4
1000234,'BRAND','Nambé' ,5
1000234,'BRAND','Villeroy & Boch',6
1000234,'BRAND','William Yeoward',7
1000234,'BRAND','Oscar de La Renta',8
1000234,'BRAND','Julia Knight',9
1000234,'BRAND','Kosta Boda',10
1000234,'BRAND','Wedgwood',11
1000234,'BRAND','Mariposa',12
